TagID e001a 	 TagName SensorRollingShutterSkew 			 Size 8 	 Type 3 	 TagType 0 
TagID e001b 	 TagName SensorOpticalBlackRegions 			 Size 4 	 Type 1 	 TagType 0 
TagID e001c 	 TagName SensorDynamicBlackLevel 			 Size 16 	 Type 2 	 TagType 0 
TagID e001d 	 TagName SensorDynamicWhiteLevel 			 Size 4 	 Type 1 	 TagType 0 
TagID e001e 	 TagName SensorOpaqueRawSize 			 Size 120 	 Type 1 	 TagType 0 
TagID e001f 	 TagName SensorOpaqueRawSizeMaximumResolution 			 Size 120 	 Type 1 	 TagType 0 
TagID e0020 	 TagName SensorPixelMode 			 Size 1 	 Type 0 	 TagType 0 
TagID e0021 	 TagName SensorRawBinningFactorUsed 			 Size 1 	 Type 0 	 TagType 0 
TagID f0000 	 TagName SensorInfoActiveArraySize 			 Size 16 	 Type 1 	 TagType 0 
TagID f0001 	 TagName SensorInfoSensitivityRange 			 Size 8 	 Type 1 	 TagType 0 
TagID f0002 	 TagName SensorInfoColorFilterArrangement 			 Size 1 	 Type 0 	 TagType 0 
TagID f0003 	 TagName SensorInfoExposureTimeRange 			 Size 16 	 Type 3 	 TagType 0 
TagID f0004 	 TagName SensorInfoMaxFrameDuration 			 Size 8 	 Type 3 	 TagType 0 
TagID f0005 	 TagName SensorInfoPhysicalSize 			 Size 8 	 Type 2 	 TagType 0 
TagID f0006 	 TagName SensorInfoPixelArraySize 			 Size 8 	 Type 1 	 TagType 0 
TagID f0007 	 TagName SensorInfoWhiteLevel 			 Size 4 	 Type 1 	 TagType 0 
TagID f0008 	 TagName SensorInfoTimestampSource 			 Size 1 	 Type 0 	 TagType 0 
TagID f0009 	 TagName SensorInfoLensShadingApplied 			 Size 1 	 Type 0 	 TagType 0 
TagID f000a 	 TagName SensorInfoPreCorrectionActiveArraySize 			 Size 16 	 Type 1 	 TagType 0 
TagID f000b 	 TagName SensorInfoActiveArraySizeMaximumResolution 			 Size 16 	 Type 1 	 TagType 0 
TagID f000c 	 TagName SensorInfoPixelArraySizeMaximumResolution 			 Size 8 	 Type 1 	 TagType 0 
TagID f000d 	 TagName SensorInfoPreCorrectionActiveArraySizeMaximumResolution 			 Size 16 	 Type 1 	 TagType 0 
TagID f000e 	 TagName SensorInfoBinningFactor 			 Size 8 	 Type 1 	 TagType 0 
TagID 100000 	 TagName ShadingMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 100001 	 TagName ShadingStrength 			 Size 1 	 Type 0 	 TagType 0 
TagID 100002 	 TagName ShadingAvailableModes 			 Size 3 	 Type 0 	 TagType 0 
TagID 110000 	 TagName StatisticsFaceDetectMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 110001 	 TagName StatisticsHistogramMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 110002 	 TagName StatisticsSharpnessMapMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 110003 	 TagName StatisticsHotPixelMapMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 110004 	 TagName StatisticsFaceIds 			 Size 40 	 Type 1 	 TagType 0 
TagID 110005 	 TagName StatisticsFaceLandmarks 			 Size 240 	 Type 1 	 TagType 0 
TagID 110006 	 TagName StatisticsFaceRectangles 			 Size 160 	 Type 1 	 TagType 0 
